episode,total_reward,final_quality,episode_length,dev_calls,analyst_calls,reviewer_calls,policy_loss,value_loss,entropy
0,5.9399999999999995,4.0,7,0,3,2,"tensor(-2.9878, grad_fn=<NegBackward0>)","tensor(8.2411, grad_fn=<MseLossBackward0>)","tensor(1.5836, grad_fn=<MeanBackward0>)"
1,0.0,0.0,1,0,0,0,"tensor(0.0678, grad_fn=<NegBackward0>)","tensor(0.0078, grad_fn=<MseLossBackward0>)","tensor(1.6032, grad_fn=<MeanBackward0>)"
2,1.4900000000000002,4.0,2,0,0,1,"tensor(-0.5774, grad_fn=<NegBackward0>)","tensor(1.0076, grad_fn=<MseLossBackward0>)","tensor(1.5680, grad_fn=<MeanBackward0>)"
3,8.72,0.0,9,2,0,4,"tensor(-3.8018, grad_fn=<NegBackward0>)","tensor(18.4086, grad_fn=<MseLossBackward0>)","tensor(1.5841, grad_fn=<MeanBackward0>)"
4,0.0,0.0,1,0,0,0,"tensor(0.2180, grad_fn=<NegBackward0>)","tensor(0.0716, grad_fn=<MseLossBackward0>)","tensor(1.5822, grad_fn=<MeanBackward0>)"
5,0.0,0.0,1,0,0,0,"tensor(0.2403, grad_fn=<NegBackward0>)","tensor(0.0551, grad_fn=<MseLossBackward0>)","tensor(1.5732, grad_fn=<MeanBackward0>)"
6,4.3,4.0,10,0,4,3,"tensor(-1.1142, grad_fn=<NegBackward0>)","tensor(2.2917, grad_fn=<MseLossBackward0>)","tensor(1.4549, grad_fn=<MeanBackward0>)"
7,0.0,0.0,1,0,0,0,"tensor(0.2118, grad_fn=<NegBackward0>)","tensor(0.0511, grad_fn=<MseLossBackward0>)","tensor(1.5555, grad_fn=<MeanBackward0>)"
8,0.0,0.0,1,0,0,0,"tensor(0.1981, grad_fn=<NegBackward0>)","tensor(0.0345, grad_fn=<MseLossBackward0>)","tensor(1.5439, grad_fn=<MeanBackward0>)"
9,4.46,1.0,5,2,0,1,"tensor(-1.5721, grad_fn=<NegBackward0>)","tensor(4.2618, grad_fn=<MseLossBackward0>)","tensor(1.3942, grad_fn=<MeanBackward0>)"
10,10.299999999999999,4.0,10,1,3,4,"tensor(-4.7448, grad_fn=<NegBackward0>)","tensor(24.8639, grad_fn=<MseLossBackward0>)","tensor(1.3769, grad_fn=<MeanBackward0>)"
11,8.99,0.9,10,1,2,6,"tensor(-3.9476, grad_fn=<NegBackward0>)","tensor(17.4489, grad_fn=<MseLossBackward0>)","tensor(1.4255, grad_fn=<MeanBackward0>)"
12,7.300000000000002,4.0,10,1,4,2,"tensor(-3.0500, grad_fn=<NegBackward0>)","tensor(15.4265, grad_fn=<MseLossBackward0>)","tensor(1.3478, grad_fn=<MeanBackward0>)"
13,9.0,1.0,10,2,3,5,"tensor(-5.0646, grad_fn=<NegBackward0>)","tensor(28.6491, grad_fn=<MseLossBackward0>)","tensor(1.4065, grad_fn=<MeanBackward0>)"
14,11.299999999999999,4.0,10,1,1,6,"tensor(-5.9620, grad_fn=<NegBackward0>)","tensor(39.7032, grad_fn=<MseLossBackward0>)","tensor(1.1431, grad_fn=<MeanBackward0>)"
15,10.899999999999999,0.0,10,3,1,6,"tensor(-6.3836, grad_fn=<NegBackward0>)","tensor(44.3552, grad_fn=<MseLossBackward0>)","tensor(1.2165, grad_fn=<MeanBackward0>)"
16,10.9,0.0,10,0,2,7,"tensor(-2.8766, grad_fn=<NegBackward0>)","tensor(18.3121, grad_fn=<MseLossBackward0>)","tensor(0.9235, grad_fn=<MeanBackward0>)"
17,11.0,1.0,10,0,1,8,"tensor(-5.2186, grad_fn=<NegBackward0>)","tensor(39.8586, grad_fn=<MseLossBackward0>)","tensor(0.7387, grad_fn=<MeanBackward0>)"
18,8.3,4.0,10,1,2,7,"tensor(-5.2397, grad_fn=<NegBackward0>)","tensor(28.7140, grad_fn=<MseLossBackward0>)","tensor(0.6669, grad_fn=<MeanBackward0>)"
19,6.540000000000001,0.0,7,0,1,5,"tensor(0.3123, grad_fn=<NegBackward0>)","tensor(14.1587, grad_fn=<MseLossBackward0>)","tensor(0.9561, grad_fn=<MeanBackward0>)"
20,3.2700000000000005,0.0,4,1,1,0,"tensor(-0.4331, grad_fn=<NegBackward0>)","tensor(1.5854, grad_fn=<MseLossBackward0>)","tensor(1.4276, grad_fn=<MeanBackward0>)"
21,11.0,1.0,10,0,1,9,"tensor(-5.9071, grad_fn=<NegBackward0>)","tensor(41.4107, grad_fn=<MseLossBackward0>)","tensor(0.9620, grad_fn=<MeanBackward0>)"
22,10.899999999999999,0.0,10,1,1,6,"tensor(-6.7935, grad_fn=<NegBackward0>)","tensor(51.5905, grad_fn=<MseLossBackward0>)","tensor(1.0193, grad_fn=<MeanBackward0>)"
23,11.299999999999999,4.0,10,1,0,9,"tensor(-5.2209, grad_fn=<NegBackward0>)","tensor(35.7876, grad_fn=<MseLossBackward0>)","tensor(0.5311, grad_fn=<MeanBackward0>)"
24,9.3,4.0,10,2,2,6,"tensor(-5.8924, grad_fn=<NegBackward0>)","tensor(50.4781, grad_fn=<MseLossBackward0>)","tensor(0.9948, grad_fn=<MeanBackward0>)"
25,11.3,4.0,10,1,0,9,"tensor(-7.2964, grad_fn=<NegBackward0>)","tensor(58.6322, grad_fn=<MseLossBackward0>)","tensor(0.4159, grad_fn=<MeanBackward0>)"
26,11.700000000000001,8.0,10,0,0,10,"tensor(-7.1142, grad_fn=<NegBackward0>)","tensor(60.8955, grad_fn=<MseLossBackward0>)","tensor(0.4510, grad_fn=<MeanBackward0>)"
27,11.3,4.0,10,0,1,8,"tensor(-3.3573, grad_fn=<NegBackward0>)","tensor(26.2783, grad_fn=<MseLossBackward0>)","tensor(0.5743, grad_fn=<MeanBackward0>)"
28,9.900000000000002,0.0,10,1,0,9,"tensor(-5.4049, grad_fn=<NegBackward0>)","tensor(46.7270, grad_fn=<MseLossBackward0>)","tensor(0.4944, grad_fn=<MeanBackward0>)"
29,11.3,4.0,10,1,0,9,"tensor(-6.8815, grad_fn=<NegBackward0>)","tensor(60.1348, grad_fn=<MseLossBackward0>)","tensor(0.3979, grad_fn=<MeanBackward0>)"
30,11.3,4.0,10,0,1,8,"tensor(-0.0375, grad_fn=<NegBackward0>)","tensor(47.8867, grad_fn=<MseLossBackward0>)","tensor(0.3909, grad_fn=<MeanBackward0>)"
31,11.299999999999999,4.0,10,0,0,9,"tensor(-7.0434, grad_fn=<NegBackward0>)","tensor(73.1644, grad_fn=<MseLossBackward0>)","tensor(0.3608, grad_fn=<MeanBackward0>)"
32,11.3,4.0,10,0,0,10,"tensor(-6.8130, grad_fn=<NegBackward0>)","tensor(67.9314, grad_fn=<MseLossBackward0>)","tensor(0.2990, grad_fn=<MeanBackward0>)"
33,1.09,0.0,2,0,0,0,"tensor(2.1689, grad_fn=<NegBackward0>)","tensor(6.5229, grad_fn=<MseLossBackward0>)","tensor(1.1596, grad_fn=<MeanBackward0>)"
34,11.0,1.0,10,1,0,9,"tensor(-5.9735, grad_fn=<NegBackward0>)","tensor(56.8311, grad_fn=<MseLossBackward0>)","tensor(0.2270, grad_fn=<MeanBackward0>)"
35,11.0,1.0,10,1,0,8,"tensor(-11.6750, grad_fn=<NegBackward0>)","tensor(141.9287, grad_fn=<MseLossBackward0>)","tensor(0.9353, grad_fn=<MeanBackward0>)"
36,10.9,0.0,10,0,0,10,"tensor(-7.0493, grad_fn=<NegBackward0>)","tensor(72.0579, grad_fn=<MseLossBackward0>)","tensor(0.2064, grad_fn=<MeanBackward0>)"
37,10.9,0.0,10,1,0,9,"tensor(3.3165, grad_fn=<NegBackward0>)","tensor(117.4117, grad_fn=<MseLossBackward0>)","tensor(0.1860, grad_fn=<MeanBackward0>)"
38,10.9,0.0,10,0,0,10,"tensor(-4.7899, grad_fn=<NegBackward0>)","tensor(33.6759, grad_fn=<MseLossBackward0>)","tensor(0.7899, grad_fn=<MeanBackward0>)"
39,10.9,0.0,10,4,0,5,"tensor(-3.8715, grad_fn=<NegBackward0>)","tensor(38.4918, grad_fn=<MseLossBackward0>)","tensor(0.6998, grad_fn=<MeanBackward0>)"
